time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
1300.0,791272.3226334241,4212707.544137851,5315114.123870472,-7588.954014768732,549.9667847107746,693.8853918647943
1310.0,715334.8299515212,4217943.3682237035,5321720.0898097735,-7598.386055279648,497.1871063438212,627.2940106681802
1320.0,639307.7727632134,4222651.078760485,5327659.742278638,-7606.866729146552,444.34517696390714,560.6240882401264
1330.0,563200.6701434363,4226830.086312658,5332932.337594501,-7614.39497453471,391.44761271933686,493.8839720823121
1340.0,487023.0511893269,4230479.867641688,5337537.215594627,-7620.9698488595395,338.50103672425666,427.08201848512135
1350.0,410784.45382711943,4233599.965771555,5341473.799718771,-7626.590528904627,285.5120782293982,360.22659148138246
1360.0,334494.42361793533,4236189.990045971,5344741.597081365,-7631.256310924798,232.487371792054,293.32606179913705
1370.0,258162.51256261862,4238249.6161772935,5347340.198533231,-7634.966610734234,179.43355644538744,226.38880581357046
1380.0,181798.2779057634,4239778.586287128,5349269.278712809,-7637.720963779613,126.35727486718503,159.42320449823774
1390.0,105411.28093908599,4240776.708938614,5350528.596086894,-7639.519025198278,73.26517254814854,92.43764237571013
1400.0,29011.085804289964,4241243.859160399,5351117.992980878,-7640.360569861411,20.16389695983856,25.440506467780324
1410.0,-47392.74170442601,4241179.978462279,5351037.395598491,-7640.245492402227,-32.939903277632794,-41.559814754647235
1420.0,-123790.63533806666,4240585.0748425275,5350286.814031041,-7639.173807229161,-86.0395792280506,-108.55493242184583
1430.0,-200173.029590596,4239459.222786891,5348866.342256154,-7637.145648524067,-139.12848247158743,-175.5364583156076
1440.0,-276530.36089659994,4237802.563259264,5346776.158126001,-7634.161270225416,-192.19996593722757,-242.49600591950173
1450.0,-352853.0688287058,4235615.303684041,5344016.523345035,-7630.221045996504,-245.24738473502347,-309.42519146892005
1460.0,-429131.59729460935,4232897.71792014,5340587.78343722,-7625.3254691786615,-298.2640969880782,-376.31563500077874
1470.0,-505356.39573355886,4229650.146226722,5336490.367702775,-7619.47515272949,-351.24346466415074,-443.158961402742
1480.0,-581517.9203121463,4225872.99522058,5331724.789164414,-7612.670829146114,-404.1788544067809,-509.9468014618417
1490.0,-657606.6351192566,4221566.737825235,5326291.644503121,-7604.913350373464,-457.0636383658276,-576.6707929123552
1500.0,-733613.0133600248,4216731.913211718,5320191.613983438,-7596.203687697613,-509.8911950273182,-643.3225814828147
1510.0,-809527.5385486518,4211369.126731065,5313425.46136829,-7586.542931624162,-562.6549100425043,-709.8938219420161
1520.0,-885340.7056999299,4205479.049838521,5305994.033823359,-7575.932291741701,-615.3481770560215,-776.3761791438951
1530.0,-961043.0225193268,4199062.4200094715,5297898.261811013,-7564.373096570365,-667.9643985330465,-842.7613290711413
1540.0,-1036625.0105914826,4192120.040647106,5289139.1589738075,-7551.86679339549,-720.496986585351,-909.0409598774179
1550.0,-1112077.2065669682,4184652.7809818243,5279717.822007568,-7538.414948086405,-772.9393637961476,-975.2067729280584
1560.0,-1187390.1633471567,4176661.5759624066,5269635.430524077,-7524.019244900377,-825.2849640436247,-1041.2504838391092
1570.0,-1262554.4512670613,4168147.426138949,5258893.246903384,-7508.681486271729,-877.5272333230668,-1107.163823514587
1580.0,-1337560.6592759893,4159111.3975375905,5247492.616135742,-7492.403592586166,-929.6596305674581,-1172.9385391818237
1590.0,-1412399.3961158663,4149554.621527037,5235434.965653205,-7475.187601940327,-981.6756284664658,-1238.5663954247648
1600.0,-1487061.291497082,4139478.29467691,5222721.805150912,-7457.035669886605,-1033.5687142837014,-1304.0391752150977
1610.0,-1561536.9972717103,4128883.678607926,5209354.726398055,-7437.9500691632575,-1085.332390672157,-1369.3486809410754
1620.0,-1635817.1886039576,4117772.0998339336,5195335.403038586,-7417.933189409844,-1136.9601764877148,-1434.4867354339108
1630.0,-1709892.5651376913,4106144.9495958276,5180665.59038166,-7396.987536868029,-1188.4456076006277,-1499.4451829916102
1640.0,-1783753.8521609055,4094003.6836873535,5165347.125181863,-7375.115734067784,-1239.7822377048699,-1564.2158904001194
1650.0,-1857391.8017669723,4081349.8222728358,5149381.925409239,-7352.32051949903,-1290.9636391252561,-1628.7907479516546
1660.0,-1930797.1940125409,4068184.9496968416,5132771.990009144,-7328.604747268761,-1341.9834036222273,-1693.1616704600895
1670.0,-2003960.8380719326,4054510.714285812,5115519.398651971,-7303.971386743691,-1392.8351431942033,-1757.3205982732725
1680.0,-2076873.5733878915,4040328.8281416795,5097626.311472754,-7278.423522178473,-1443.5124908774014,-1821.259498282147
1690.0,-2149526.2708185446,4025641.0669275033,5079094.968800714,-7251.964352329525,-1494.009101543022,-1884.9703649265477
1700.0,-2221909.83378043,4010449.269645144,5059927.690878751,-7224.597190054532,-1544.3186526916982,-1948.4452211975488
1710.0,-2294015.1993874446,3994755.3384050103,5040126.877572931,-7196.325461897648,-1594.4348452451138,-2011.6761196362359
1720.0,-2365833.33958558,3978561.238187899,5019695.008072017,-7167.152707660476,-1644.3514043346884,-2074.655143328779
1730.0,-2437355.2622832884,3961868.9965989706,4998634.640577048,-7137.08257995886,-1694.062080087231,-2137.374406897681
