time_s,x_num_m,y_num_m,z_num_m,r_num_m,x_ana_m,y_ana_m,z_ana_m,r_ana_m,r_error_norm_m,r_error_rel,vx_num_ms,vy_num_ms,vz_num_ms,v_num_ms,vx_ana_ms,vy_ana_ms,vz_ana_ms,v_ana_ms,v_error_norm_ms,v_error_rel,energy_error_Jkg,energy_error_rel,|h|_error_m2s,|h|_error_rel
330.0,6367890.098793134,1530777.159297912,1931360.1085849323,6828137.000000002,6367890.098793132,1530777.1592979115,1931360.108584934,6828137.000000001,2.518448472579934e-09,3.688339107109206e-16,-2757.608342628881,4425.945332410285,5584.153255667513,7640.429532402146,-2757.608342628882,4425.945332410284,5584.153255667518,7640.4295324021505,5.606501875235132e-12,7.337940689667545e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-1.52587890625e-05,-2.924826228066782e-16
340.0,6339915.940488604,1574939.857466873,1987079.566517091,6828137.000000002,6339915.940488602,1574939.8574668725,1987079.566517092,6828137.000000001,2.2453374138551194e-09,3.2883602274751064e-16,-2837.164941813823,4406.502142679434,5559.622055419504,7640.429532402145,-2837.164941813824,4406.502142679433,5559.62205541951,7640.42953240215,5.606501875235132e-12,7.337940689667546e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
350.0,6311147.9840659285,1618905.363069437,2042550.229349233,6828137.000000001,6311147.984065926,1618905.3630694367,2042550.229349235,6828136.999999999,3.5002120720159514e-09,5.12615970068549e-16,-2916.3663097602416,4386.507230632184,5534.394754849881,7640.429532402146,-2916.366309760243,4386.507230632183,5534.394754849886,7640.42953240215,5.697967974875459e-12,7.457653984911525e-16,-2.60770320892334e-08,-8.934137001385226e-16,-1.52587890625e-05,-2.924826228066782e-16
360.0,6281589.831457671,1662668.1713424586,2097765.151798775,6828137.000000001,6281589.831457669,1662668.171342458,2097765.151798777,6828137.0,2.675020437006852e-09,3.9176431829162945e-16,-2995.202529949144,4365.963099759701,5508.474512578394,7640.429532402145,-2995.202529949145,4365.9630997597005,5508.4745125784,7640.4295324021505,6.574206188270619e-12,8.604498163866566e-16,-2.60770320892334e-08,-8.934137001385226e-16,-1.52587890625e-05,-2.924826228066782e-16
370.0,6251245.1835340215,1706222.8029017982,2152717.420603468,6828137.000000002,6251245.18353402,1706222.802901798,2152717.42060347,6828137.000000001,2.6444477708080195e-09,3.872868647492016e-16,-3073.6637315803787,4344.872322318872,5481.864573985539,7640.429532402145,-3073.6637315803796,4344.872322318871,5481.864573985546,7640.42953240215,6.495091318850291e-12,8.500950491468293e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
380.0,6220117.839639427,1749563.804428375,2207400.155386982,6828137.000000001,6220117.839639425,1749563.8044283746,2207400.155386984,6828137.0,2.675020437006852e-09,3.9176431829162945e-16,-3151.740090808521,4323.237539010234,5454.568270806214,7640.429532402145,-3151.7400908085224,4323.237539010233,5454.56827080622,7640.42953240215,6.574206188270619e-12,8.604498163866567e-16,-2.60770320892334e-08,-8.934137001385226e-16,-1.52587890625e-05,-2.924826228066782e-16
390.0,6188211.697116887,1792685.7493509585,2261806.509520377,6828137.000000002,6188211.697116885,1792685.7493509578,2261806.5095203784,6828137.000000001,2.430823284413328e-09,3.5600095376137413e-16,-3229.421831972884,4301.061458647349,5426.58902071256,7640.429532402145,-3229.421831972885,4301.061458647348,5426.589020712567,7640.42953240215,6.495091318850291e-12,8.500950491468293e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
400.0,6155530.750819981,1835583.238525608,2315929.670979338,6828137.000000002,6155530.750819978,1835583.2385256074,2315929.6709793406,6828137.0,3.7033980993057755e-09,5.423731391601803e-16,-3306.6992288214888,4278.34685781764,5397.930326886052,7640.429532402145,-3306.69922882149,4278.346857817639,5397.930326886058,7640.42953240215,5.697967974875459e-12,7.457653984911525e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
410.0,6122079.092612688,1878250.9009116816,2369762.863197093,6828137.000000002,6122079.092612686,1878250.900911681,2369762.8631970948,6828137.0,3.429809553235824e-09,5.023053218228961e-16,-3383.56260572886,4255.096580534743,5368.595777578875,7640.429532402144,-3383.5626057288605,4255.096580534742,5368.595777578881,7640.42953240215,6.44715641044869e-12,8.438211992018341e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
420.0,6087860.91085706,1920683.394244326,2423299.345912874,6828137.000000002,6087860.910857058,1920683.3942443253,2423299.345912876,6828137.000000001,2.725212813988241e-09,3.991151340384999e-16,-3460.0023389074704,4231.313537882423,5338.589045664653,7640.429532402145,-3460.0023389074718,4231.313537882422,5338.589045664659,7640.42953240215,6.574206188270619e-12,8.604498163866567e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
