time_s,energy_Jkg,dE_abs,dE_rel
80430.0,-29188081.71980132,1.4156103134155273e-07,4.849960086466266e-15
80440.0,-29188081.719801333,1.30385160446167e-07,4.467068500692613e-15
80450.0,-29188081.719801333,1.30385160446167e-07,4.467068500692613e-15
80460.0,-29188081.719801333,1.30385160446167e-07,4.467068500692613e-15
80470.0,-29188081.719801337,1.2665987014770508e-07,4.339437972101396e-15
80480.0,-29188081.71980135,1.1175870895385742e-07,3.828915857736525e-15
80490.0,-29188081.719801337,1.2665987014770508e-07,4.339437972101396e-15
80500.0,-29188081.719801325,1.3783574104309082e-07,4.722329557875048e-15
80510.0,-29188081.719801318,1.4528632164001465e-07,4.977590615057483e-15
80520.0,-29188081.719801314,1.4901161193847656e-07,5.1052211436487005e-15
80530.0,-29188081.71980133,1.341104507446289e-07,4.594699029283831e-15
80540.0,-29188081.719801344,1.1920928955078125e-07,4.084176914918961e-15
80550.0,-29188081.71980134,1.2293457984924316e-07,4.211807443510178e-15
80560.0,-29188081.71980134,1.2293457984924316e-07,4.211807443510178e-15
80570.0,-29188081.719801348,1.1548399925231934e-07,3.9565463863277435e-15
80580.0,-29188081.719801344,1.1920928955078125e-07,4.084176914918961e-15
80590.0,-29188081.719801337,1.2665987014770508e-07,4.339437972101396e-15
80600.0,-29188081.719801344,1.1920928955078125e-07,4.084176914918961e-15
80610.0,-29188081.719801337,1.2665987014770508e-07,4.339437972101396e-15
80620.0,-29188081.719801325,1.3783574104309082e-07,4.722329557875048e-15
80630.0,-29188081.719801325,1.3783574104309082e-07,4.722329557875048e-15
80640.0,-29188081.71980132,1.4156103134155273e-07,4.849960086466266e-15
80650.0,-29188081.719801337,1.2665987014770508e-07,4.339437972101396e-15
80660.0,-29188081.719801337,1.2665987014770508e-07,4.339437972101396e-15
80670.0,-29188081.719801325,1.3783574104309082e-07,4.722329557875048e-15
80680.0,-29188081.719801325,1.3783574104309082e-07,4.722329557875048e-15
80690.0,-29188081.719801333,1.30385160446167e-07,4.467068500692613e-15
80700.0,-29188081.71980133,1.341104507446289e-07,4.594699029283831e-15
80710.0,-29188081.719801344,1.1920928955078125e-07,4.084176914918961e-15
80720.0,-29188081.719801348,1.1548399925231934e-07,3.9565463863277435e-15
80730.0,-29188081.719801333,1.30385160446167e-07,4.467068500692613e-15
