time_s,x_num_m,y_num_m,z_num_m,r_num_m,x_ana_m,y_ana_m,z_ana_m,r_ana_m,r_error_norm_m,r_error_rel,vx_num_ms,vy_num_ms,vz_num_ms,v_num_ms,vx_ana_ms,vy_ana_ms,vz_ana_ms,v_ana_ms,v_error_norm_ms,v_error_rel,energy_error_Jkg,energy_error_rel,|h|_error_m2s,|h|_error_rel
350.0,6311147.984065927,1618905.3630694356,2042550.2293492355,6828137.000000001,6311147.984065926,1618905.3630694367,2042550.229349235,6828136.999999999,1.5618754393652476e-09,2.2874108111264433e-16,-2916.366309760243,4386.507230632175,5534.394754849887,7640.429532402147,-2916.366309760243,4386.507230632183,5534.394754849886,7640.42953240215,7.332580706405269e-12,9.597079163296605e-16,-2.60770320892334e-08,-8.934137001385226e-16,-2.288818359375e-05,-4.387239342100173e-16
360.0,6281589.83145767,1662668.171342457,2097765.1517987777,6828137.000000002,6281589.831457669,1662668.171342458,2097765.151798777,6828137.0,1.757832811044238e-09,2.5743959311950506e-16,-2995.202529949145,4365.963099759692,5508.474512578402,7640.429532402147,-2995.202529949145,4365.9630997597005,5508.4745125784,7640.4295324021505,8.385126836667848e-12,1.0974679893463483e-15,-3.725290298461914e-09,-1.276305285912175e-16,-7.62939453125e-06,-1.462413114033391e-16
370.0,6251245.183534019,1706222.8029017968,2152717.4206034704,6828136.999999999,6251245.18353402,1706222.802901798,2152717.42060347,6828137.000000001,1.5618754393652476e-09,2.2874108111264423e-16,-3073.66373158038,4344.872322318863,5481.864573985547,7640.429532402147,-3073.6637315803796,4344.872322318871,5481.864573985546,7640.42953240215,8.397448851892199e-12,1.0990807278935852e-15,-2.60770320892334e-08,-8.934137001385226e-16,-2.288818359375e-05,-4.387239342100173e-16
380.0,6220117.839639424,1749563.8044283737,2207400.1553869853,6828136.999999999,6220117.839639425,1749563.8044283746,2207400.155386984,6828137.0,1.9199706733309015e-09,2.81185142203635e-16,-3151.740090808523,4323.237539010225,5454.568270806221,7640.429532402145,-3151.7400908085224,4323.237539010233,5454.56827080622,7640.42953240215,8.248369862129518e-12,1.0795688681047533e-15,-3.3527612686157227e-08,-1.1486747573209577e-15,-2.288818359375e-05,-4.387239342100173e-16
390.0,6188211.697116884,1792685.7493509566,2261806.509520379,6828136.999999999,6188211.697116885,1792685.7493509578,2261806.5095203784,6828137.000000001,1.5618754393652476e-09,2.2874108111264423e-16,-3229.421831972885,4301.061458647339,5426.589020712567,7640.429532402144,-3229.421831972885,4301.061458647348,5426.589020712567,7640.42953240215,9.094947017729282e-12,1.1903711668511172e-15,-4.0978193283081055e-08,-1.4039358145033928e-15,-3.814697265625e-05,-7.312065570166955e-16
400.0,6155530.750819979,1835583.2385256053,2315929.67097934,6828137.0,6155530.750819978,1835583.2385256074,2315929.6709793406,6828137.0,2.3399190095069096e-09,3.4268776527285694e-16,-3306.6992288214906,4278.346857817631,5397.930326886059,7640.429532402147,-3306.69922882149,4278.346857817639,5397.930326886058,7640.42953240215,8.397448851892199e-12,1.0990807278935852e-15,-2.60770320892334e-08,-8.934137001385226e-16,-2.288818359375e-05,-4.387239342100173e-16
410.0,6122079.092612686,1878250.9009116795,2369762.8631970948,6828137.0,6122079.092612686,1878250.900911681,2369762.8631970948,6828137.0,1.3969838619232178e-09,2.0459224264586633e-16,-3383.562605728862,4255.096580534733,5368.595777578882,7640.429532402145,-3383.5626057288605,4255.096580534742,5368.595777578881,7640.42953240215,9.241558215263274e-12,1.2095600353449932e-15,-3.3527612686157227e-08,-1.1486747573209577e-15,-3.0517578125e-05,-5.849652456133564e-16
420.0,6087860.910857056,1920683.394244324,2423299.345912875,6828136.999999998,6087860.910857058,1920683.3942443253,2423299.345912876,6828137.000000001,2.5076627764545864e-09,3.672543149697474e-16,-3460.002338907473,4231.313537882412,5338.58904566466,7640.429532402145,-3460.0023389074718,4231.313537882422,5338.589045664659,7640.42953240215,1.0137908616165057e-11,1.326876790522234e-15,-4.842877388000488e-08,-1.6591968716858277e-15,-3.814697265625e-05,-7.312065570166955e-16
430.0,6052880.489888807,1962875.405703357,2476532.4160158485,6828136.999999998,6052880.489888808,1962875.4057033588,2476532.4160158494,6828137.0,2.2812650937430355e-09,3.340977332093711e-16,-3536.0088576127087,4207.00070765007,5307.913888178588,7640.429532402144,-3536.0088576127073,4207.00070765008,5307.913888178588,7640.42953240215,1.0097029785890535e-11,1.321526459091107e-15,-4.842877388000488e-08,-1.6591968716858277e-15,-3.814697265625e-05,-7.312065570166955e-16
440.0,6017142.209480884,2004821.652578471,2529455.408384384,6828136.999999998,6017142.209480885,2004821.6525784726,2529455.408384384,6828137.0,2.4750236917134956e-09,3.6247422857999123e-16,-3611.572645341183,4182.16113395991,5276.574145847031,7640.429532402147,-3611.572645341182,4182.1611339599185,5276.574145847029,7640.42953240215,8.434306887916777e-12,1.1039048069415322e-15,-3.3527612686157227e-08,-1.1486747573209577e-15,-3.814697265625e-05,-7.312065570166955e-16
450.0,5980650.544295099,2046516.8829306571,2582061.69672057,6828136.999999998,5980650.5442951,2046516.8829306595,2582061.6967205694,6828137.000000001,2.550531912153429e-09,3.7353262129237134e-16,-3686.684241022266,4156.7979268857935,5244.573742606631,7640.429532402146,-3686.6842410222657,4156.797926885803,5244.57374260663,7640.4295324021505,9.151613902530748e-12,1.197787881390679e-15,-3.3527612686157227e-08,-1.1486747573209577e-15,-3.814697265625e-05,-7.312065570166955e-16
460.0,5943410.063321862,2087955.8762497865,2634344.6943798712,6828136.999999998,5943410.063321864,2087955.8762497888,2634344.6943798703,6828137.000000001,3.123750878730495e-09,4.574821622252885e-16,-3761.334240202672,4130.914262063837,5211.916685113014,7640.429532402144,-3761.334240202672,4130.914262063848,5211.916685113013,7640.42953240215,1.0951766470309208e-11,1.4333966989505071e-15,-5.587935447692872e-08,-1.9144579288682626e-15,-4.57763671875e-05,-8.774478684200346e-16
470.0,5905425.429308126,2129133.444108248,2686297.855195817,6828136.999999997,5905425.429308129,2129133.4441082506,2686297.855195817,6828137.0,3.636930918277546e-09,5.32638832272631e-16,-3835.513296223956,4104.513380294808,5178.607062239129,7640.429532402144,-3835.513296223956,4104.5133802948185,5178.607062239128,7640.42953240215,1.0951766470309208e-11,1.4333966989505071e-15,-6.332993507385254e-08,-2.169718986050698e-15,-5.340576171875e-05,-1.0236891798233737e-15
480.0,5866701.398173572,2170044.4308105744,2737914.674299627,6828136.999999997,5866701.398173574,2170044.4308105772,2737914.674299626,6828137.0,4.05954098658699e-09,5.945312735504559e-16,-3909.212121392775,4077.598587138346,5144.649044563294,7640.429532402144,-3909.2121213927726,4077.5985871383587,5144.649044563294,7640.4295324021505,1.2934344934663288e-11,1.6928819092971506e-15,-6.332993507385254e-08,-2.169718986050698e-15,-5.340576171875e-05,-1.0236891798233737e-15
490.0,5827242.81841514,2210683.714038969,2789188.688934654,6828136.999999998,5827242.818415142,2210683.7140389723,2789188.6889346535,6828137.0,3.783050181640294e-09,5.540384121818724e-16,-3982.4214881437647,4050.1732524990953,5110.046883847012,7640.429532402145,-3982.4214881437633,4050.1732524991075,5110.046883847011,7640.42953240215,1.2486934990871288e-11,1.6343236905615956e-15,-4.842877388000488e-08,-1.6591968716858277e-15,-5.340576171875e-05,-1.0236891798233737e-15
500.0,5787054.6304999655,2251046.20549465,2840113.479265572,6828136.999999996,5787054.630499968,2251046.2054946544,2840113.4792655716,6828137.0,5.0583763472736885e-09,7.408135406881392e-16,-4055.132230194897,4022.2408102047625,5074.804912502622,7640.429532402144,-4055.132230194896,4022.2408102047752,5074.80491250262,7640.42953240215,1.2934344934663288e-11,1.6928819092971508e-15,-7.078051567077638e-08,-2.424980043233133e-15,-6.103515625e-05,-1.1699304912267128e-15
510.0,5746141.866246808,2291126.851534944,2890682.669182176,6828136.999999998,5746141.86624681,2291126.8515349473,2890682.669182175,6828136.999999999,3.8680731611876166e-09,5.664902683100262e-16,-4127.335243695152,3993.804757576187,5038.927543050858,7640.429532402145,-4127.33524369515,3993.8047575761993,5038.927543050857,7640.42953240215,1.2445463820226004e-11,1.6288958320270186e-15,-5.587935447692872e-08,-1.9144579288682626e-15,-4.57763671875e-05,-8.774478684200346e-16
520.0,5704509.648196024,2330920.633806025,2940889.9270977094,6828136.999999998,5704509.648196025,2330920.633806028,2940889.927097709,6828137.0,2.9816870751943665e-09,4.3667651589216304e-16,-4199.021488364375,3964.868654989448,5002.419267568369,7640.429532402145,-4199.021488364373,3964.8686549894605,5002.419267568368,7640.42953240215,1.289431282089738e-11,1.6876423984036683e-15,-5.587935447692872e-08,-1.9144579288682626e-15,-4.57763671875e-05,-8.774478684200346e-16
530.0,5662163.188968197,2370422.569871252,2990728.9667416266,6828136.999999998,5662163.188968198,2370422.5698712547,2990728.9667416266,6828137.0,2.9451005721170265e-09,4.3131831890851433e-16,-4270.181988625185,3935.4361254300848,4965.284657125284,7640.429532402143,-4270.181988625183,3935.436125430098,4965.284657125283,7640.42953240215,1.33435612507321e-11,1.7464412431452512e-15,-5.587935447692872e-08,-1.9144579288682626e-15,-4.57763671875e-05,-8.774478684200346e-16
540.0,5619107.790611489,2409627.713835001,3040193.547946668,6828136.999999998,5619107.79061149,2409627.713835004,3040193.5479466678,6828136.999999999,2.9816870751943665e-09,4.366765158921631e-16,-4340.807834726773,3905.510854039478,4927.528361212884,7640.429532402144,-4340.807834726772,3905.5108540394913,4927.528361212883,7640.42953240215,1.325024848877862e-11,1.7342282174825249e-15,-5.587935447692872e-08,-1.9144579288682626e-15,-5.340576171875e-05,-1.0236891798233737e-15
550.0,5575348.843937783,2448531.15696192,3089277.4774301704,6828136.999999998,5575348.8439377835,2448531.156961924,3089277.477430171,6828137.0,3.8680731611876166e-09,5.664902683100261e-16,-4410.890183860454,3875.096587653444,4889.155107161458,7640.429532402143,-4410.890183860454,3875.0965876534574,4889.155107161456,7640.42953240215,1.3312529670933552e-11,1.742379746384245e-15,-5.587935447692872e-08,-1.9144579288682626e-15,-5.340576171875e-05,-1.0236891798233737e-15
560.0,5530891.827847722,2487128.0282915384,3137974.609569508,6828136.999999998,5530891.827847722,2487128.028291542,3137974.6095695086,6828137.0,3.754281321679498e-09,5.498251311711376e-16,-4480.420261266851,3844.1971343331056,4850.169699548405,7640.429532402144,-4480.420261266852,3844.1971343331197,4850.169699548402,7640.42953240215,1.458739910262506e-11,1.9092380920158534e-15,-5.587935447692872e-08,-1.9144579288682626e-15,-3.814697265625e-05,-7.312065570166955e-16
570.0,5485742.308644714,2525413.495248137,3186278.8471715613,6828136.999999999,5485742.308644713,2525413.4952481412,3186278.847171562,6828137.0,4.31836512661339e-09,6.324368018118836e-16,-4549.389361334548,3812.816362888104,4810.577019596677,7640.429532402147,-4549.389361334547,3812.816362888117,4810.5770195966725,7640.42953240215,1.3979321146452456e-11,1.8296512109911913e-15,-2.60770320892334e-08,-8.934137001385226e-16,-3.0517578125e-05,-5.849652456133564e-16
