time_s,energy_Jkg,dE_rel
2860.0,-29188081.76373071,2.2628892685160346e-13
2870.0,-29188081.76373011,2.468374419238585e-13
2880.0,-29188081.763730552,2.3164940904436564e-13
2890.0,-29188081.763730995,2.164613761648728e-13
2900.0,-29188081.76373142,2.0191149592737545e-13
2910.0,-29188081.763731506,1.991036243025953e-13
2920.0,-29188081.76373204,1.8059719768472581e-13
2930.0,-29188081.763731983,1.8263928613911145e-13
2940.0,-29188081.763731416,2.0203912645577453e-13
2950.0,-29188081.76373168,1.929773589394385e-13
2960.0,-29188081.76373212,1.7791695658834476e-13
2970.0,-29188081.76373236,1.6974860277080237e-13
2980.0,-29188081.763732422,1.6745125325961857e-13
2990.0,-29188081.763731945,1.839155914231024e-13
3000.0,-29188081.763731893,1.857024188206898e-13
3010.0,-29188081.763732053,1.802143060995285e-13
3020.0,-29188081.763731334,2.0471936755215566e-13
3030.0,-29188081.763731897,1.8557478829229072e-13
3040.0,-29188081.763731785,1.894037041442637e-13
3050.0,-29188081.76373277,1.555816141185023e-13
3060.0,-29188081.76373225,1.7344988809437627e-13
3070.0,-29188081.763732176,1.7600249866235826e-13
3080.0,-29188081.76373232,1.711525385831925e-13
3090.0,-29188081.76373177,1.899142262578601e-13
3100.0,-29188081.76373217,1.7625775971915645e-13
3110.0,-29188081.76373267,1.5902763838527801e-13
3120.0,-29188081.763733126,1.4345671392058788e-13
3130.0,-29188081.7637338,1.2035558828035088e-13
3140.0,-29188081.76373368,1.2443976518912205e-13
3150.0,-29188081.76373361,1.2686474522870496e-13
3160.0,-29188081.76373348,1.3145944425107254e-13
3170.0,-29188081.7637331,1.4435012761938157e-13
3180.0,-29188081.76373346,1.319699663646689e-13
3190.0,-29188081.76373304,1.4651984660216626e-13
3200.0,-29188081.7637325,1.648986426916366e-13
3210.0,-29188081.763731766,1.9004185678625921e-13
3220.0,-29188081.763732176,1.7600249866235826e-13
3230.0,-29188081.76373165,1.9387077263823217e-13
