time_s,hx,hy,hz,h_mag,dH_abs,dH_rel
2120.0,-0.0007762908935546,-40882486737.40044,32403059706.3349,52166425986.12663,-3473599.961174011,-6.658245441784058e-05
2130.0,-0.0007915496826171,-40882473895.19823,32403049527.730766,52166409599.35941,-3489986.7283935547,-6.689655828519617e-05
2140.0,-0.0008296966552734,-40882461052.98634,32403039349.119057,52166393212.57991,-3506373.5078964233,-6.721066238800029e-05
2150.0,-0.0007381439208984,-40882448210.76484,32403029170.499752,52166376825.78816,-3522760.29964447,-6.75247667255217e-05
2160.0,-0.00079345703125,-40882435368.53388,32403018991.872814,52166360438.98424,-3539147.1035690308,-6.783887129644425e-05
2170.0,-0.000762939453125,-40882422526.29309,32403008813.238262,52166344052.1679,-3555533.919906616,-6.815297610530141e-05
2180.0,-0.0007915496826171,-40882409684.04306,32402998634.596207,52166327665.33966,-3571920.748146057,-6.846708114229501e-05
2190.0,-0.0007667541503906,-40882396841.78366,32402988455.94676,52166311278.49948,-3588307.5883255005,-6.878118640815628e-05
2200.0,-0.0008010864257812,-40882383999.51476,32402978277.289925,52166294891.647255,-3604694.440551758,-6.909529190493257e-05
2210.0,-0.0007438659667968,-40882371157.2367,32402968098.625786,52166278504.78333,-3621081.304473877,-6.94093976258968e-05
2220.0,-0.0008010864257812,-40882358314.94927,32402957919.954166,52166262117.90742,-3637468.1803894043,-6.972350357675236e-05
2230.0,-0.0008449554443359,-40882345472.65288,32402947741.275448,52166245731.02007,-3653855.0677337646,-7.00376097466774e-05
2240.0,-0.0008277893066406,-40882332630.34742,32402937562.58969,52166229344.12124,-3670241.966567993,-7.035171613684186e-05
2250.0,-0.0007972717285156,-40882319788.03323,32402927383.896797,52166212957.211136,-3686628.8766708374,-7.066582274300474e-05
2260.0,-0.0008525848388671,-40882306945.71033,32402917205.197044,52166196570.28993,-3703015.7978744507,-7.097992956194874e-05
