time_s,energy_Jkg,dE_abs,dE_rel
2220.0,-29192148.71239295,-4066.9486556351185,-0.00013933593473373828
2230.0,-29192167.0342447,-4085.270507387817,-0.00013996365161835593
2240.0,-29192185.35047591,-4103.586738597602,-0.00014059117594003096
2250.0,-29192203.681138694,-4121.917401380837,-0.00014121919469548095
2260.0,-29192222.009323273,-4140.245585959405,-0.00014184712854625352
2270.0,-29192240.32592372,-4158.562186405063,-0.000142474665518156
2280.0,-29192258.640285663,-4176.876548349857,-0.0001431021257977674
2290.0,-29192276.964331046,-4195.200593732297,-0.00014372991783736643
2300.0,-29192295.29200283,-4213.528265517205,-0.0001443578341195415
2310.0,-29192313.60831525,-4231.844577938318,-0.00014498536122356203
2320.0,-29192331.933820546,-4250.170083232224,-0.00014561320328054412
2330.0,-29192350.255840752,-4268.492103438824,-0.00014624092593648662
2340.0,-29192368.57244452,-4286.808707207441,-0.00014686846302223555
2350.0,-29192386.89663975,-4305.132902435958,-0.00014749626019564495
2360.0,-29192405.22801374,-4323.46427642554,-0.00014812430331742203
2370.0,-29192423.557105966,-4341.793368652463,-0.0001487522682647347
2380.0,-29192441.87281122,-4360.109073907137,-0.00014937977456689356
2390.0,-29192460.193515055,-4378.429777741432,-0.00015000745212318494
2400.0,-29192478.50761742,-4396.743880107999,-0.0001506349035095011
2410.0,-29192496.839647993,-4415.075910679996,-0.00015126296912615882
2420.0,-29192515.166343234,-4433.40260592103,-0.00015189085195139478
2430.0,-29192533.48648483,-4451.722747515887,-0.00015251851024504864
2440.0,-29192551.812114827,-4470.0483775138855,-0.00015314635657446267
2450.0,-29192570.13694494,-4488.373207625002,-0.00015377417549930486
2460.0,-29192588.469587307,-4506.705849993974,-0.000154402262076469
2470.0,-29192606.795283183,-4525.031545870006,-0.00015503011066290127
2480.0,-29192625.120288175,-4543.35655086115,-0.000155657935579231
2490.0,-29192643.45203609,-4561.688298776746,-0.00015628599151192236
2500.0,-29192661.785702094,-4580.021964780986,-0.0001569141131594031
2510.0,-29192680.111107133,-4598.3473698198795,-0.00015754195178159237
2520.0,-29192698.44746452,-4616.6837272048,-0.0001581701656372799
2530.0,-29192716.76740248,-4635.003665167838,-0.00015879781695439383
2540.0,-29192735.08391654,-4653.32017922774,-0.000159425350966672
2550.0,-29192753.402963586,-4671.639226272702,-0.00016005297176043454
2560.0,-29192771.721143547,-4689.957406233996,-0.0001606805628474258
2570.0,-29192790.042054337,-4708.278317023069,-0.00016130824749410353
2580.0,-29192808.36787338,-4726.604136068374,-0.00016193610030038397
2590.0,-29192826.696078733,-4744.93234141916,-0.00016256403486282435
2600.0,-29192845.01735222,-4763.253614906222,-0.00016319173193573796
2610.0,-29192863.35268743,-4781.588950116187,-0.00016381991077114006
2620.0,-29192881.674640875,-4799.91090356186,-0.00016444763113981589
2630.0,-29192899.996229503,-4818.232492189854,-0.00016507533900963405
2640.0,-29192918.320760068,-4836.557022754103,-0.0001657031476718331
2650.0,-29192936.63709142,-4854.8733541071415,-0.000166330675424472
2660.0,-29192954.95831843,-4873.194581117481,-0.00016695837090506714
2670.0,-29192973.29197453,-4891.528237216175,-0.0001675864922131783
2680.0,-29192991.62040282,-4909.856665506959,-0.00016821443441366764
2690.0,-29193009.941629563,-4928.177892249078,-0.0001688421298850734
2700.0,-29193028.275135696,-4946.511398382485,-0.00016947024605528998
2710.0,-29193046.6065034,-4964.842766087502,-0.00017009828896175436
2720.0,-29193064.921930727,-4983.158193413168,-0.00017072578574191003
2730.0,-29193083.248645037,-5001.484907723963,-0.00017135366922048668
2740.0,-29193101.57470665,-5019.810969337821,-0.00017198153033730134
2750.0,-29193119.908078633,-5038.144341319799,-0.00017260964191141497
2760.0,-29193138.24428418,-5056.480546865612,-0.0001732378505650098
2770.0,-29193156.564529475,-5074.800792161375,-0.00017386551241151468
2780.0,-29193174.88986986,-5093.126132547855,-0.00017449334881867616
2790.0,-29193193.218255527,-5111.454518213868,-0.000175121289558817
2800.0,-29193211.52539065,-5129.761653337628,-0.00017574850224349927
2810.0,-29193229.732163016,-5147.968425702304,-0.0001763722764439435
2820.0,-29193248.09189432,-5166.328157007694,-0.00017700129110321449
2830.0,-29193266.42292861,-5184.659191295505,-0.00017762932258661893
2840.0,-29193284.75023203,-5202.986494716257,-0.0001782572262484321
2850.0,-29193303.093643226,-5221.32990591228,-0.0001788856817716317
2860.0,-29193321.413876165,-5239.650138851255,-0.00017951334319478613
2870.0,-29193339.73899422,-5257.97525690496,-0.00018014117198470242
2880.0,-29193358.06066634,-5276.296929027885,-0.0001807688827151036
2890.0,-29193376.40471906,-5294.640981744975,-0.00018139736021717366
2900.0,-29193394.748853777,-5312.985116463155,-0.0001820258405286469
2910.0,-29193413.092479136,-5331.328741822392,-0.00018265430338919796
2920.0,-29193431.41190087,-5349.648163557053,-0.00018328193702003904
2930.0,-29193449.73250142,-5367.968764107674,-0.000183909611037774
2940.0,-29193468.05385318,-5386.29011586681,-0.00018453731079233268
2950.0,-29193486.383212477,-5404.619475163519,-0.00018516528488960552
2960.0,-29193504.725558452,-5422.961821138859,-0.00018579370391774897
2970.0,-29193523.045230903,-5441.281493589282,-0.00018642134613825227
2980.0,-29193541.36961428,-5459.605876967311,-0.00018704914975776912
2990.0,-29193559.70000739,-5477.9362700767815,-0.00018767715927404518
3000.0,-29193578.027969457,-5496.26423214376,-0.00018830508550144628
3010.0,-29193596.347598247,-5514.583860933781,-0.00018893272622611977
3020.0,-29193614.672328494,-5532.90859118104,-0.0001895605417295704
3030.0,-29193633.00165044,-5551.237913127989,-0.00019018851454721957
3040.0,-29193651.33790492,-5569.5741676054895,-0.00019081672487724139
3050.0,-29193669.674943414,-5587.911206100136,-0.00019144496206812894
3060.0,-29193688.006625663,-5606.24288835004,-0.00019207301575107697
3070.0,-29193706.331257917,-5624.567520603538,-0.00019270082789720657
3080.0,-29193724.665760074,-5642.902022760361,-0.00019332897819174228
3090.0,-29193742.985723745,-5661.2219864316285,-0.00019395663038963447
3100.0,-29193761.31050196,-5679.5467646457255,-0.0001945844475364558
3110.0,-29193779.645448692,-5697.881711378694,-0.00019521261306241876
3120.0,-29193797.964990366,-5716.201253052801,-0.00019584025080245234
3130.0,-29193816.29491016,-5734.531172845513,-0.0001964682441026316
3140.0,-29193834.631861784,-5752.868124470115,-0.00019709647831730288
3150.0,-29193852.972828116,-5771.2090908028185,-0.00019772485007811828
3160.0,-29193871.29862628,-5789.534888967872,-0.0001983527021690296
3170.0,-29193889.63997744,-5807.876240126789,-0.00019898108711420624
3180.0,-29193907.965240244,-5826.201502930373,-0.0001996089208633343
3190.0,-29193926.285067905,-5844.521330591291,-0.00020023656840143593
3200.0,-29193944.607020352,-5862.843283038586,-0.00020086428873590677
3210.0,-29193962.940549,-5881.176811687648,-0.00020149240567752226
3220.0,-29193981.264186226,-5899.500448912382,-0.00020212018373341007
3230.0,-29193999.58684758,-5917.82311026752,-0.00020274792835545995
3240.0,-29194017.912922055,-5936.14918474108,-0.0002033757899128552
3250.0,-29194036.2428586,-5954.479121286422,-0.00020400378378698894
3260.0,-29194054.564151663,-5972.800414349884,-0.000204631481530601
3270.0,-29194072.884009443,-5991.120272129774,-0.00020525913010059543
3280.0,-29194091.20715478,-6009.443417467177,-0.00020588689130414829
3290.0,-29194109.5329666,-6027.769229285419,-0.00020651474386282548
3300.0,-29194127.86926724,-6046.105529926717,-0.0002071429557744448
3310.0,-29194146.18967388,-6064.425936564803,-0.00020777062314862788
3320.0,-29194164.522468355,-6082.758731041104,-0.0002083987149370741
