time_s,x_num_m,y_num_m,z_num_m,x_ana_m,y_ana_m,z_ana_m,error_m,rel_error
1290.0,867110.7392690269,4206944.262354241,-5307842.671939152,867110.7392690248,4206944.262354236,-5307842.671939147,7.569681949451966e-09,1.1086013578011053e-15
1300.0,791272.3189208201,4212707.544406924,-5315114.124209959,791272.3189208141,4212707.544406899,-5315114.124209927,4.0885485316162635e-08,5.987795106653928e-15
1310.0,715334.8262057044,4217943.368468804,-5321720.090119015,715334.8262057018,4217943.3684688015,-5321720.090119013,4.708708360827687e-09,6.896036738612138e-16
1320.0,639307.7689845895,4222651.078981207,-5327659.7425571205,639307.7689845876,4222651.078981206,-5327659.7425571205,2.08250058582033e-09,3.0498810815019237e-16
1330.0,563200.6663324183,4226830.086508574,-5332932.337841686,563200.666332417,4226830.086508577,-5332932.337841689,4.153596883386204e-09,6.083060259901353e-16
1340.0,487023.0473463383,4230479.86781237,-5337537.215809974,487023.0473463384,4230479.86781238,-5337537.215809987,1.6582135672749757e-08,2.428500727614246e-15
1350.0,410784.4499525978,4233599.965916606,-5341473.79990178,410784.4499525952,4233599.9659166,-5341473.799901774,8.307193766772408e-09,1.2166120519802705e-15
1360.0,334494.41971232806,4236189.990164979,-5344741.597231517,334494.4197123235,4236189.990164953,-5344741.597231485,4.1270996662327935e-08,6.044254335015237e-15
1370.0,258162.50862637855,4238249.616269801,-5347340.1986499475,258162.5086263766,4238249.616269799,-5347340.198649946,3.2773807841219463e-09,4.799816969287445e-16
1380.0,181798.27393936127,4239778.586352745,-5349269.278795599,181798.2739393597,4239778.586352745,-5349269.2787956,1.826830537346566e-09,2.675445055286041e-16
1390.0,105411.27694300149,4240776.708976934,-5350528.596135242,105411.27694299864,4240776.708976936,-5350528.596135246,5.04798367521116e-09,7.392915044339562e-16
1400.0,29011.08177901333,4241243.85917101,-5351117.992994267,29011.081779010863,4241243.859171019,-5351117.99299428,1.6211814874583928e-08,2.3742661980250143e-15
1410.0,-47392.74575839349,4241179.9784448035,-5351037.395576443,-47392.745758395584,4241179.978444798,-5351037.395576437,8.175638441964722e-09,1.1973454021154998e-15
1420.0,-123790.63942021289,4240585.074796573,-5350286.813973064,-123790.63942021469,4240585.074796548,-5350286.813973032,4.047508950894842e-08,5.927691478502616e-15
1430.0,-200173.03370039805,4239459.222712021,-5348866.342161694,-200173.03370040125,4239459.222712018,-5348866.342161691,5.650941701299627e-09,8.275964148492667e-16
1440.0,-276530.3650335243,4237802.56315511,-5346776.157994593,-276530.36503352737,4237802.563155109,-5346776.157994593,3.2225182595817393e-09,4.71946924846666e-16
1450.0,-352853.07299220806,4235615.3035502145,-5344016.5231761895,-352853.07299221144,4235615.303550216,-5344016.523176193,5.361427990565754e-09,7.851963120490631e-16
1460.0,-429131.60148413474,4232897.717756255,-5340587.78323045,-429131.60148413875,4232897.717756265,-5340587.783230463,1.706120061396134e-08,2.4986611449010674e-15
1470.0,-505356.39994854515,4229650.146032422,-5336490.367457629,-505356.3999485484,4229650.146032416,-5336490.367457624,8.5484049053331e-09,1.2519381062994341e-15
