time_s,energy_Jkg,dE_rel,h_mag_m2s
3090.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
3100.0,-29188081.741769366,7.657831709709511e-16,52169899605.720245
3110.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
3120.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
3130.0,-29188081.74176936,1.0210442279612682e-15,52169899605.72024
3140.0,-29188081.74176937,6.381526424757926e-16,52169899605.72024
3150.0,-29188081.74176935,1.2763052849515851e-15,52169899605.72024
3160.0,-29188081.741769362,8.934136994661096e-16,52169899605.72024
3170.0,-29188081.74176935,1.2763052849515851e-15,52169899605.720245
3180.0,-29188081.74176936,1.0210442279612682e-15,52169899605.720245
3190.0,-29188081.74176935,1.2763052849515851e-15,52169899605.720245
3200.0,-29188081.74176935,1.2763052849515851e-15,52169899605.720245
3210.0,-29188081.74176936,1.0210442279612682e-15,52169899605.72024
3220.0,-29188081.74176936,1.0210442279612682e-15,52169899605.72024
3230.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
3240.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
3250.0,-29188081.74176936,1.0210442279612682e-15,52169899605.72024
3260.0,-29188081.741769362,8.934136994661096e-16,52169899605.72024
3270.0,-29188081.74176936,1.0210442279612682e-15,52169899605.720245
3280.0,-29188081.74176936,1.0210442279612682e-15,52169899605.72024
3290.0,-29188081.741769366,7.657831709709511e-16,52169899605.720245
3300.0,-29188081.74176936,1.0210442279612682e-15,52169899605.72024
3310.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
3320.0,-29188081.74176936,1.0210442279612682e-15,52169899605.72024
3330.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
3340.0,-29188081.74176937,6.381526424757926e-16,52169899605.72024
3350.0,-29188081.74176937,6.381526424757926e-16,52169899605.72022
3360.0,-29188081.74176937,6.381526424757926e-16,52169899605.72024
3370.0,-29188081.74176936,1.0210442279612682e-15,52169899605.72024
3380.0,-29188081.741769362,8.934136994661096e-16,52169899605.72024
3390.0,-29188081.74176937,6.381526424757926e-16,52169899605.72024
3400.0,-29188081.741769355,1.1486747564564267e-15,52169899605.720245
3410.0,-29188081.74176937,6.381526424757926e-16,52169899605.72024
3420.0,-29188081.741769362,8.934136994661096e-16,52169899605.72024
3430.0,-29188081.74176936,1.0210442279612682e-15,52169899605.72024
3440.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
3450.0,-29188081.74176937,6.381526424757926e-16,52169899605.72024
3460.0,-29188081.741769362,8.934136994661096e-16,52169899605.72024
3470.0,-29188081.741769362,8.934136994661096e-16,52169899605.72024
3480.0,-29188081.741769362,8.934136994661096e-16,52169899605.72024
3490.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3500.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3510.0,-29188081.741769362,8.934136994661096e-16,52169899605.72023
3520.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3530.0,-29188081.74176937,6.381526424757926e-16,52169899605.72024
3540.0,-29188081.741769362,8.934136994661096e-16,52169899605.72024
3550.0,-29188081.741769355,1.1486747564564267e-15,52169899605.720245
3560.0,-29188081.741769355,1.1486747564564267e-15,52169899605.72024
3570.0,-29188081.741769362,8.934136994661096e-16,52169899605.72024
3580.0,-29188081.741769355,1.1486747564564267e-15,52169899605.720245
3590.0,-29188081.741769362,8.934136994661096e-16,52169899605.72024
3600.0,-29188081.741769355,1.1486747564564267e-15,52169899605.720245
3610.0,-29188081.741769355,1.1486747564564267e-15,52169899605.720245
3620.0,-29188081.741769355,1.1486747564564267e-15,52169899605.72024
3630.0,-29188081.741769355,1.1486747564564267e-15,52169899605.72024
3640.0,-29188081.741769355,1.1486747564564267e-15,52169899605.72024
3650.0,-29188081.741769355,1.1486747564564267e-15,52169899605.72024
3660.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3670.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3680.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3690.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3700.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3710.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3720.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3730.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3740.0,-29188081.741769377,3.8289158548547556e-16,52169899605.72022
3750.0,-29188081.74176937,6.381526424757926e-16,52169899605.72022
