time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
11920.0,4788303.731583106,3017409.6113922778,-3807023.4581868597,-5444.226001020045,3333.292628695457,-4205.568638256463
11930.0,4733561.906146163,3050552.3468277976,-3848839.1834351416,-5504.024492189994,3295.185078832492,-4157.488876160328
11940.0,4678225.546097565,3083311.933380761,-3890171.4951029927,-5563.1316787718315,3256.6636542553256,-4108.886934132185
11950.0,4622301.601675259,3115684.256452416,-3931015.201858778,-5621.5401369124575,3217.7331932486636,-4059.768916568105
11960.0,4565797.09691761,3147665.250084189,-3971365.173739496,-5679.242530518955,3178.39858547213,-4010.140992683172
11970.0,4508719.128781309,3179250.897468449,-4011216.342795199,-5736.231612179998,3138.664771346114,-3960.0093957366166
11980.0,4451074.866249969,3210437.2314529964,-4050563.7037255033,-5792.500224076122,3098.536741431255,-3909.3804222489234
11990.0,4392871.549433616,3241220.3350392827,-4089402.314508185,-5848.041298878757,3058.019535801641,-3858.260431210998
12000.0,4334116.4886594415,3271596.3418744574,-4127727.297019988,-5902.8478606378685,3017.1182434117613,-3806.655843285468
12010.0,4274817.063553647,3301561.4367369986,-4165533.8376493366,-5956.913025658142,2975.8380014573368,-3754.573140000245
12020.0,4214980.72211443,3331111.856015807,-4202817.187900803,-6010.230003363575,2934.1839947300987,-3702.018862934461
12030.0,4154614.9797766297,3360243.8881829963,-4239572.664991622,-6062.79209715037,2892.161454966569,-3648.999612896834
12040.0,4093727.4184677666,3388953.8742600456,-4275795.652439822,-6114.592705228027,2849.77566019096,-3595.5220490966108
12050.0,4032325.685655673,3417238.2082773,-4311481.600643984,-6165.625321448532,2807.03193405226,-3541.5928883071806
12060.0,3970417.493388075,3445093.3377269655,-4346626.02745476,-6215.883536123526,2763.9356451555764,-3487.218904022439
12070.0,3908010.6173239755,3472515.7640093137,-4381224.51873786,-6265.361036829348,2720.492206387836,-3432.406925606032
12080.0,3845112.8957569147,3499502.0428720075,-4415272.728928336,-6314.051609199898,2676.707074237941,-3377.1638374336085
12090.0,3781732.2286305814,3526048.784842784,-4448766.381576492,-6361.949137707141,2632.585748111424,-3321.4965780281273
12100.0,3717876.576546559,3552152.655655155,-4481701.269884985,-6409.047606429221,2588.1337696397236,-3265.4121391883846
12110.0,3653553.959764408,3577810.3766671205,-4514073.257237108,-6455.341099806072,2543.3567219841684,-3208.9175651108553
12120.0,3588772.4571944093,3603018.725273055,-4545878.277716468,-6500.8238033823945,2498.2602291347193,-3152.0199515049285
12130.0,3523540.205382873,3627774.53530848,-4577112.33661767,-6545.490004537957,2452.8499552035983,-3094.726444701687
12140.0,3457865.3974900795,3652074.6974476264,-4607771.510947929,-6589.334093205102,2407.1316037138854,-3037.0442407563432
12150.0,3391756.28226131,3675916.1595940604,-4637851.949919908,-6632.350562573368,2361.110916883151,-2978.980584544405
12160.0,3325221.162990789,3699295.927264002,-4667349.87543535,-6674.534009781138,2314.793674902231,-2920.5427688517207
12170.0,3258268.3964787256,3722211.0639623664,-4696261.582559521,-6715.879136594255,2268.1856952092503,-2861.738133458516
12180.0,3190906.391981784,3744658.691551674,-4724583.439986662,-6756.380750071466,2221.292831758938,-2802.5740642175097
12190.0,3123143.6101568965,3766635.990613563,-4752311.890496102,-6796.033763216645,2174.120974287374,-2743.057992126247
12200.0,3054988.5619985056,3788140.200802793,-4779443.451398901,-6834.833195617744,2126.6760475722467,-2683.1973923937817
12210.0,2986449.8077696706,3809168.6211940437,-4805974.714975399,-6872.774174072312,2078.9640106886955,-2622.9997835017816
12220.0,2917535.9559268784,3829718.6106211273,-4831902.348903198,-6909.851933199576,2030.9908562608528,-2562.472726260207
12230.0,2848255.662038771,3849787.588008648,-4857223.096675608,-6946.061816038975,1982.7626097091766,-2501.6238228576844
12240.0,2778617.6276990753,3869373.0326962764,-4881933.778010788,-6981.39927463507,1934.2853284936527,-2440.4607159066645
12250.0,2708630.5994337006,3888472.4847553615,-4906031.2892512,-7015.859870608757,1885.5651013529766,-2378.9910874835077
12260.0,2638303.3676020857,3907083.545297783,-4929512.603753291,-7049.439275714745,1836.6080475398185,-2317.2226581636282
12270.0,2567644.7652932084,3925203.8767773486,-4952374.772267761,-7082.133272385171,1787.4203160522359,-2255.1631860517796
12280.0,2496663.66721613,3942831.2032833695,-4974614.923309958,-7113.937754259325,1738.0080848613654,-2192.8204658076434
12290.0,2425368.9885852896,3959963.3108264403,-4996230.2635204485,-7144.84872669942,1688.377560135475,-2130.2023276668274
12300.0,2353769.6840008143,3976598.0476166094,-5017218.078015981,-7174.8623072923065,1638.5349754604629,-2067.316636457379
12310.0,2281874.7463238346,3992733.324333663,-5037575.730730495,-7203.9747263371,1588.4865910569188,-2004.1712906119635
12320.0,2209693.205546907,4008367.114389425,-5057300.664746064,-7232.182327318669,1538.2386929938496,-1940.7742211758323
12330.0,2137234.1276599113,4023497.454182396,-5076390.40261417,-7259.481567366882,1487.797592399144,-1877.133390810676
12340.0,2064506.6135113493,4038122.4433443616,-5094842.546666843,-7285.869017701587,1437.1696246668953,-1813.2567927945172
12350.0,1991519.7976652419,4052240.244979,-5112654.779317715,-7311.341364063288,1386.3611486616853,-1749.1524500177645
12360.0,1918282.847253878,4065849.0858926964,-5129824.86335323,-7335.895407129392,1335.3785459199028,-1684.8284139755278
12370.0,1844804.9608264344,4078947.2568172715,-5146350.6422136575,-7359.528062916047,1284.2282198482224,-1620.292763756351
12380.0,1771095.3671935787,4091533.1126245456,-5162230.040263809,-7382.2363631655035,1232.9165949193473,-1555.553605027491
12390.0,1697163.3242683813,4103605.0725330706,-5177461.063053864,-7404.017455718912,1181.450115865088,-1490.6190690168362
12400.0,1623018.117903513,4115161.6203066506,-5192041.797569844,-7424.8686048745585,1129.8352468669075,-1425.4973114916304
12410.0,1548669.060724912,4126201.304444708,-5205970.412473793,-7444.78719173148,1078.078470744027,-1360.1965117341142
12420.0,1474125.4909621603,4136722.7383646877,-5219245.158333916,-7463.770714518382,1026.1862881391771,-1294.724871514202
12430.0,1399396.7712756107,4146724.600576232,-5231864.367844332,-7481.81678890786,974.1652167021169,-1229.090614059338
12440.0,1324492.2875803874,4156205.6348470356,-5243826.456034331,-7498.9231483158865,922.0217902710268,-1163.3019830216692
12450.0,1249421.4478675595,4165164.650360734,-5255129.920467577,-7515.087644186478,869.7625580518516,-1097.3672414426383
12460.0,1174193.681022488,4173600.521866446,-5265773.341430791,-7530.308246261559,817.3940837957242,-1031.2946707151461
12470.0,1098818.435640538,4181512.189820028,-5275755.382111962,-7544.583042835969,764.9229449745644,-965.0925695434184
12480.0,1023305.1788403649,4188898.660517254,-5285074.78876838,-7557.910240997564,712.3557319549421,-898.7692529006813
12490.0,947663.3950748513,4195759.006218641,-5293730.39088413,-7570.2881668524,659.699047170328,-832.3330509848005
12500.0,871902.584939826,4202092.365265851,-5301721.101316952,-7581.715265734989,606.9595042918359,-765.7923081720184
12510.0,796032.2639808196,4207897.942190019,-5309045.916434916,-7592.190102403554,554.1437273975409,-699.1553819688944
12520.0,720061.9614979062,4213175.007811642,-5315703.916242454,-7601.7113612202975,501.2583501404979,-632.4306419626055
12530.0,644001.2193488118,4217922.899332087,-5321694.264495809,-7610.277846316651,448.3100149155588,-565.6264687697333
12540.0,567859.5907504754,4222141.020416935,-5327016.208808195,-7617.8884817434755,395.3053720250849,-498.75125298365265
12550.0,491646.6390791718,4225828.841270905,-5331669.080744325,-7624.542311606179,342.2510788436685,-431.8133941206725
12560.0,415371.9366693291,4228985.898704267,-5335652.2959042005,-7630.23850018481,289.153798981974,-364.82129956506685
12570.0,339045.0636112637,4231611.796191127,-5338965.353996654,-7634.976332038999,236.0202014497836,-297.78338351310174
12580.0,262675.6065479179,4233706.203919207,-5341607.838902151,-7638.755212097828,182.8569598183729,-230.70806591621493
12590.0,186273.15747077297,4235268.858831189,-5343579.418724959,-7641.574665734575,129.6707513823148,-163.6037714234759
12600.0,109847.31251510372,4236299.5646578595,-5344879.845834958,-7643.434338826322,76.46825632080748,-96.47892832344584
12610.0,33407.67075470841,4236798.191942781,-5345508.956898773,-7644.333997798422,23.256156858644133,-29.34196748558479
12620.0,-43036.16700374315,4236764.67805842,-5345466.672900122,-7644.273529653857,-29.95886357306783,37.79867869865777
12630.0,-119474.59942656348,4236199.027214125,-5344752.999149881,-7643.252941987414,-83.17012117634954,104.93457737495558
12640.0,-195898.02585897443,4235101.310455573,-5343368.0252853865,-7641.272362984735,-136.37093262583275,172.05729628526825
12650.0,-272296.8475309458,4233471.665655768,-5341311.925259077,-7638.33204140623,-189.55461590818135,239.15840482692818
12660.0,-348661.4687628031,4231310.297497825,-5338584.957316773,-7634.432346555817,-242.7144911613564,306.22947511152984
12670.0,-424982.2981704429,4228617.477449282,-5335187.463965266,-7629.573768234534,-295.8438815136058,373.26208302347067
12680.0,-501249.74987000495,4225393.543727877,-5331119.87192914,-7623.756916679037,-348.93611392207316,440.24780927801146
12690.0,-577454.2446818637,4221638.9012591755,-5326382.692097312,-7616.982522484942,-401.98452001093517,507.17824047874444
12700.0,-653586.2113337698,4217354.021625687,-5320976.519458831,-7609.251436515061,-454.9824369089472,574.0449701743107
12710.0,-729636.0876629896,4212539.443007559,-5314902.033028055,-7600.564629792552,-507.92320808629614,640.8395999142466
12720.0,-805594.3218173261,4207195.77011508,-5308159.995759486,-7590.923193378941,-560.8001841906648,707.5537403038351
12730.0,-881451.3734548324,4201323.67411275,-5300751.254451978,-7580.328338237076,-613.6067238823885,774.1790120578106
12740.0,-957197.7149420585,4194923.892534853,-5292676.739642208,-7568.7813950790605,-666.336194668601,840.7070470527897
12750.0,-1032823.8325507385,4187997.2291929326,-5283937.465487949,-7556.283814199089,-718.9819737362806,907.129489378312
12760.0,-1108320.2276527083,4180544.5540748085,-5274534.52964065,-7542.837165291298,-771.5374487840716,973.4379963863394
12770.0,-1183677.4179129137,4172566.8032352296,-5264469.113107483,-7528.443137252629,-823.9960188527871,1039.6242397390897
12780.0,-1258885.9384804163,4164064.978678406,-5253742.480103129,-7513.103537970683,-876.3510951544903,1105.6799064550776
12790.0,-1333936.3431771789,4155040.148232176,-5242355.97789102,-7496.820294096646,-928.5961019000466,1171.596699953223
12800.0,-1408819.2056844742,4145493.4454137613,-5230311.0366139645,-7479.595450803327,-980.7244771250383,1237.3663410948977
12810.0,-1483525.1207268585,4135426.069287506,-5217609.169114656,-7461.431171528263,-1032.729673513949,1302.9805692237876
12820.0,-1558044.7052534642,4124839.284314248,-5204251.97074563,-7442.329737701994,-1084.605159222504,1368.4311432034272
12830.0,-1632368.5996164833,4113734.420192429,-5190241.119168792,-7422.293548461535,-1136.3444186980673,1433.7098424522842
12840.0,-1706487.4687467732,4102112.871691183,-5175578.374144829,-7401.325120349023,-1187.9409534979973,1498.8084679762655
12850.0,-1780392.003326347,4089976.0984751717,-5160265.577312207,-7379.427086995638,-1239.3882831058493,1563.7188433985107
12860.0,-1854072.9209575767,4077325.6249211268,-5144304.651955706,-7356.602198790841,-1290.6799457453258,1628.4328159863403
12870.0,-1927520.9673291014,4064163.0399264954,-5127697.602764987,-7332.853322536905,-1341.8094991918756,1692.9422576752395
12880.0,-2000726.9173781576,4050489.99670985,-5110446.515582776,-7308.1834410888505,-1392.770521581836,1757.239066089741
12890.0,-2073681.5764492112,4036308.2126031704,-5092553.557142786,-7282.595652979815,-1443.5566122190157,1821.3151655610807
12900.0,-2146375.781448852,4021619.4688362447,-5074020.974797699,-7256.0931720318595,-1494.1613923786267,1885.1625081415052
12910.0,-2218800.401996681,4006425.6103129634,-5054851.096236925,-7228.679326952305,-1544.5785061084468,1948.7730746150896
12920.0,-2290946.3415720323,3990728.5453794803,-5035046.329194084,-7200.357560915675,-1594.801621027126,2012.1388755049481
12930.0,-2362804.5386565425,3974530.2455846285,-5014609.161144735,-7171.1314311312135,-1644.8244291195347,2075.251952076713
12940.0,-2434365.967872264,3957832.7454322693,-4993542.158993914,-7141.004608396099,-1694.6406475290482,2138.104377338151
12950.0,-2505621.641115209,3940638.1421256857,-4971847.968753638,-7109.980876634414,-1744.2440193466723,2200.6882570347907
12960.0,-2576562.6086843116,3922948.5953042707,-4949529.315210692,-7078.064132421865,-1793.6283143969097,2262.9957306414403
12970.0,-2647179.9604055183,3904766.326772295,-4926589.001584413,-7045.2583844963665,-1842.7873300202712,2325.018972349468
12980.0,-2717464.826750831,3886093.620219727,-4903029.909174463,-7011.567753254571,-1891.7148918523262,2386.7501920497243
12990.0,-2787408.379952386,3866932.820935507,-4878854.996999056,-6976.99647023432,-1940.4048545992039,2448.181636310975
13000.0,-2857001.8351112,3847286.3355129524,-4854067.301423287,-6941.548877583184,-1988.8511028094392,2509.3055893537335
13010.0,-2926236.451300505,3827156.631547423,-4828669.935777671,-6905.229427513082,-2037.047551642074,2570.1143740193597
13020.0,-2995103.5326636746,3806546.237326481,-4802666.089967224,-6868.042681741088,-2084.988147630912,2630.600352734312
13030.0,-3063594.429506432,3785457.741512357,-4776059.0300708385,-6829.993310916462,-2132.666869444832,2690.755928469423
13040.0,-3131700.5393831674,3763893.792816699,-4748852.097930913,-6791.086094034044,-2180.077728644068,2750.5735456940865
13050.0,-3199413.3081774767,3741857.099667992,-4721048.710733746,-6751.325917833998,-2227.214770432354,2810.0456913252324
13060.0,-3266724.231176543,3719350.4298713603,-4692652.360580308,-6710.71777618803,-2274.072074404847,2869.1648956709646
13070.0,-3333624.8541392647,3696376.610260859,-4663666.614047549,-6669.266769472189,-2320.64375529173,2927.9237333687565
13080.0,-3400106.7743581855,3672938.526344518,-4634095.111740544,-6626.97810392623,-2366.9239636973975,2986.314824318075
13090.0,-3466161.6417148886,3649039.1219419353,-4603941.567835266,-6583.857090999716,-2412.9068868351414,3044.3308346073177
13100.0,-3531781.1597286724,3624681.3988144244,-4573209.769611932,-6539.909146684918,-2458.586749257235,3101.964477434954
13110.0,-3596957.0865986706,3599868.4162880885,-4541903.576979454,-6495.139790836546,-2503.957813580329,3159.208514024744
13120.0,-3661681.2362390044,3574603.290869549,-4510026.921990597,-6449.554646478469,-2549.014381206065,3216.055754534929
13130.0,-3725945.479306884,3548889.195854444,-4477583.808348037,-6403.159439097469,-2593.7507930368192,3272.4990589612726
13140.0,-3789741.744223743,3522729.360928951,-4444578.310901605,-6355.959995924109,-2638.161430186485,3328.531338033848
13150.0,-3853062.0181890414,3496127.0717641544,-4411014.575136502,-6307.962245200828,-2682.240714686202,3384.145554107444
13160.0,-3915898.3481865623,3469085.6696032593,-4376896.816652499,-6259.172215437377,-2725.983110184949,3439.334722045495
13170.0,-3978242.8419834077,3441608.550842022,-4342229.320634565,-6209.59603465362,-2769.38312264491,3494.0919100974133
13180.0,-4040087.6691212375,3413699.1666021436,-4307016.44131463,-6159.23992960986,-2812.435301031522,3548.4102407692144
13190.0,-4101425.0618996993,3385361.0222977456,-4271262.60142461,-6108.110225024771,-2855.134237998127,3602.282891687332
13200.0,-4162247.3163521504,3356597.6771951728,-4234972.2916410165,-6056.213342781003,-2897.4745705651326,3655.703096455503
13210.0,-4222546.793213289,3327412.7439659666,-4198150.07002095,-6003.555801118583,-2939.4509807935983,3708.664145504627
13220.0,-4282315.9188785255,3297809.888233011,-4160800.5614294796,-5950.144213816251,-2981.058196453174,3761.1593869354906
13230.0,-4341547.186355331,3267792.8281102167,-4122928.4569588653,-5895.985289360754,-3022.290991684286,3813.1822273542393
13240.0,-4400233.156206091,3237365.3337355084,-4084538.5133393407,-5841.085830104259,-3063.1441876545055,3864.7261327005103
13250.0,-4458366.457482415,3206531.2267972375,-4045635.552341587,-5785.452731409998,-3103.612653209012,3915.7846290681096
13260.0,-4515939.788651036,3175294.3800542527,-4006224.46017122,-5729.092980786192,-3143.6913055150617,3966.3513035181336
13270.0,-4572945.918510896,3143658.7168495,-3966310.1868551024,-5672.013657008418,-3183.3751107003905,4016.4198048844282
13280.0,-4629377.687101255,3111628.210617154,-3925897.745619497,-5614.221929230537,-3222.6590844854713,4065.983844571302
13290.0,-4685228.006601095,3079206.8843836365,-3884992.212260511,-5555.725056084232,-3261.5382928095355,4115.037197343368
13300.0,-4740489.862219323,3046398.8102623066,-3843598.724506555,-5496.530384767326,-3300.007852450289,4163.57370210743
13310.0,-4795156.313075742,3013208.108941949,-3801722.4813729716,-5436.645350120991,-3338.0629316372515,4211.587262686325
13320.0,-4849220.493072934,2979638.9491692875,-3759368.7425091336,-5376.077473695919,-3375.698750658616,4259.071848584591
13330.0,-4902675.611758669,2945695.547225407,-3716542.82753785,-5314.834362807609,-3412.910582461586,4306.0214957459
13340.0,-4955514.955178634,2911382.166396095,-3673250.115387108,-5252.92370958091,-3449.693753246091,4352.430307302145
13350.0,-5007731.886719835,2876703.116436455,-3629496.0436145766,-5190.353289983878,-3486.0436430518166,4398.292454314082
13360.0,-5059319.84794412,2841662.75302958,-3585286.107724629,-5127.130962851112,-3521.955686338467,4443.602176503446
13370.0,-5110272.359411833,2806265.4772394323,-3540625.8604780426,-5063.264668896705,-3557.425372559201,4488.353782976441
13380.0,-5160583.021495744,2770515.734958132,-3495520.9111946584,-4998.762429716876,-3592.4482467271537,4532.541652938518
13390.0,-5210245.515184868,2734418.0163475727,-3449976.9250488672,-4933.632346782451,-3627.019909974979,4576.1602364003365
13400.0,-5259253.602877981,2697976.8552753706,-3403999.622357959,-4867.8826004213415,-3661.1360201073517,4619.204054874853
13410.0,-5307601.129167187,2661196.828745482,-3357594.77786374,-4801.521448791079,-3694.7922921463446,4661.667702065412
13420.0,-5355282.021611015,2624082.5563233187,-3310768.220007209,-4734.557226841595,-3727.9844988696186,4703.5458445447775
13430.0,-5402290.291497012,2586638.699555481,-3263525.8301964425,-4666.998345268372,-3760.708471341366,4744.8332224250125
13440.0,-5448620.034594053,2548869.961384332,-3215873.542067971,-4598.853289456034,-3792.9600994359266,4785.524650018118
13450.0,-5494265.431893941,2510781.0855573197,-3167817.340741532,-4530.130618412588,-3824.735332354013,4825.6150164873525
13460.0,-5539220.750342106,2472376.856031087,-3119363.2620682362,-4460.838963694434,-3856.0301791314987,4865.099286489157
13470.0,-5583480.343557819,2433662.0963706714,-3070517.3918725546,-4390.987028322221,-3886.8407091406784,4903.97250080559
13480.0,-5627038.652543341,2394641.6691436516,-3021285.865187918,-4320.583585687757,-3917.163052583952,4942.229776967204
13490.0,-5669890.206382035,2355320.4753093664,-2971674.8654861026,-4249.637478452083,-3946.993400979878,4979.866309866288
13500.0,-5712029.622925643,2315703.453603412,-2921690.623900661,-4178.157617434824,-3976.328007641513,5016.877372360385
13510.0,-5753451.609470306,2275795.5799173485,-2871339.4184443024,-4106.152980494981,-4005.1631881469903,5053.2583158660145
13520.0,-5794150.963421163,2235601.8666736563,-2820627.573220291,-4033.632611403342,-4033.4953208022926,5089.004570942543
13530.0,-5834122.572945939,2195127.362196239,-2769561.4576282096,-3960.6056187065587,-4061.3208470961295,5124.1116478661015
13540.0,-5873361.417616959,2154377.1500763404,-2718147.485563952,-3887.081174583129,-4088.6362721468868,5158.57513719349
13550.0,-5911862.569041601,2113356.348534004,-2666392.114614084,-3813.0685136913753,-4115.438165141588,5192.3907103160145
13560.0,-5949621.191481449,2072070.10977528,-2614301.845244841,-3738.5769320095665,-4141.723159766799,5225.554120003148
13570.0,-5986632.54245968,2030523.6193451192,-2561883.2199856816,-3663.615785668336,-4167.487954631432,5258.061200935979
13580.0,-6022891.973356546,1988722.0954760022,-2509142.8226074628,-3588.194489775571,-4192.729313681413,5289.907870230392
13590.0,-6058394.929993393,1946670.7884325867,-2456087.2772955913,-3512.322517233866,-4217.444066606116,5321.090127949861
13600.0,-6093136.953204626,1904374.9798522627,-2402723.2478180095,-3436.009397550726,-4241.62910923656,5351.604057607845
13610.0,-6127113.679397673,1861839.982081743,-2349057.436688185,-3359.2647156416756,-4265.281403935296,5381.445826659707
